Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR29551967_1	SRR29551967_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	292397.0	88 Mbp	0.0	301.0	52.0	4.589650372609842	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551967_2	SRR29551967_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	292397.0	88 Mbp	0.0	301.0	51.0	5.746638987404111	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551968_1	SRR29551968_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265467.0	79.9 Mbp	0.0	301.0	52.0	5.875306535275571	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551968_2	SRR29551968_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265467.0	79.9 Mbp	0.0	301.0	52.0	6.52246795270222	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551969_1	SRR29551969_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254916.0	76.7 Mbp	0.0	301.0	52.0	5.146008881356996	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551969_2	SRR29551969_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254916.0	76.7 Mbp	0.0	301.0	52.0	5.947841641952643	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551970_1	SRR29551970_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265595.0	79.9 Mbp	0.0	301.0	52.0	5.383007963252321	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551970_2	SRR29551970_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265595.0	79.9 Mbp	0.0	301.0	52.0	6.338974754795836	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551971_1	SRR29551971_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	281331.0	84.6 Mbp	0.0	301.0	51.0	5.986187089229413	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551971_2	SRR29551971_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	281331.0	84.6 Mbp	0.0	301.0	51.0	6.855625579833008	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551972_1	SRR29551972_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	305053.0	91.8 Mbp	0.0	301.0	51.0	5.925199883298967	301.0	301	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551972_2	SRR29551972_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	305053.0	91.8 Mbp	0.0	301.0	51.0	7.199404693610618	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551973_1	SRR29551973_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	253578.0	76.3 Mbp	0.0	301.0	53.0	10.313197517134768	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551973_2	SRR29551973_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	253578.0	76.3 Mbp	0.0	301.0	52.0	11.627980345298093	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551974_1	SRR29551974_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6524.0	1.9 Mbp	0.0	301.0	54.0	21.16799509503372	301.0	301	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551974_2	SRR29551974_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6524.0	1.9 Mbp	0.0	301.0	54.0	22.59350091968118	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551975_1	SRR29551975_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	448258.0	134.9 Mbp	0.0	301.0	54.0	6.57277728451026	301.0	301	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551975_2	SRR29551975_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	448258.0	134.9 Mbp	0.0	301.0	54.0	7.074051104497856	301.0	301	pass	fail	warn	pass	fail	pass	pass	pass	fail	fail	pass
SRR29551976_1	SRR29551976_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66822.0	20.1 Mbp	0.0	301.0	53.0	9.484900182574602	301.0	301	pass	fail	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR29551976_2	SRR29551976_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66822.0	20.1 Mbp	0.0	301.0	53.0	10.709047918350244	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551977_1	SRR29551977_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	255347.0	76.8 Mbp	0.0	301.0	53.0	5.575158509792557	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551977_2	SRR29551977_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	255347.0	76.8 Mbp	0.0	301.0	53.0	6.179042636099112	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551978_1	SRR29551978_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	314336.0	94.6 Mbp	0.0	301.0	53.0	5.454354575995113	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551978_2	SRR29551978_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	314336.0	94.6 Mbp	0.0	301.0	53.0	6.495278937188232	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551979_1	SRR29551979_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367268.0	110.5 Mbp	0.0	301.0	53.0	4.680233507956043	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551979_2	SRR29551979_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367268.0	110.5 Mbp	0.0	301.0	53.0	5.75792064650337	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551980_1	SRR29551980_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	439631.0	132.3 Mbp	0.0	301.0	53.0	5.257363561714256	301.0	301	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551980_2	SRR29551980_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	439631.0	132.3 Mbp	0.0	301.0	53.0	6.390586651077836	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551981_1	SRR29551981_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	266641.0	80.2 Mbp	0.0	301.0	53.0	6.559756376551243	301.0	301	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551981_2	SRR29551981_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	266641.0	80.2 Mbp	0.0	301.0	53.0	9.290394200441792	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR29551982_1	SRR29551982_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299584.0	90.1 Mbp	0.0	301.0	51.0	4.787638859218116	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551982_2	SRR29551982_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299584.0	90.1 Mbp	0.0	301.0	51.0	5.650168233283486	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551983_1	SRR29551983_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155614.0	46.8 Mbp	0.0	301.0	52.0	6.861850476178236	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551983_2	SRR29551983_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155614.0	46.8 Mbp	0.0	301.0	52.0	7.142673538370584	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551984_1	SRR29551984_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300824.0	90.5 Mbp	0.0	301.0	53.0	5.832313911124112	301.0	301	pass	fail	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR29551984_2	SRR29551984_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300824.0	90.5 Mbp	0.0	301.0	52.0	6.1577533707416965	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551985_1	SRR29551985_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	257482.0	77.5 Mbp	0.0	301.0	52.0	6.377144810122649	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551985_2	SRR29551985_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	257482.0	77.5 Mbp	0.0	301.0	52.0	7.395856797756736	301.0	301	pass	fail	warn	pass	fail	pass	pass	pass	fail	fail	pass
SRR29551986_1	SRR29551986_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	282450.0	85 Mbp	0.0	301.0	53.0	6.18127102141972	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551986_2	SRR29551986_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	282450.0	85 Mbp	0.0	301.0	53.0	6.409984067976633	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR29551987_1	SRR29551987_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	188324.0	56.6 Mbp	0.0	301.0	52.0	5.899938404027102	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
