Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR29551967_1	95.41034962739016	52.0	301.0	301	54.54545454545454	292397.0
SRR29551967_2	94.25336101259589	51.0	301.0	301	45.45454545454545	292397.0
SRR29551968_1	94.12469346472443	52.0	301.0	301	54.54545454545454	265467.0
SRR29551968_2	93.47753204729779	52.0	301.0	301	45.45454545454545	265467.0
SRR29551969_1	94.85399111864301	52.0	301.0	301	54.54545454545454	254916.0
SRR29551969_2	94.05215835804735	52.0	301.0	301	45.45454545454545	254916.0
SRR29551970_1	94.61699203674767	52.0	301.0	301	54.54545454545454	265595.0
SRR29551970_2	93.66102524520416	52.0	301.0	301	45.45454545454545	265595.0
SRR29551971_1	94.01381291077058	51.0	301.0	301	54.54545454545454	281331.0
SRR29551971_2	93.144374420167	51.0	301.0	301	45.45454545454545	281331.0
SRR29551972_1	94.07480011670103	51.0	301.0	301	45.45454545454545	305053.0
SRR29551972_2	92.80059530638938	51.0	301.0	301	45.45454545454545	305053.0
SRR29551973_1	89.68680248286523	53.0	301.0	301	54.54545454545454	253578.0
SRR29551973_2	88.3720196547019	52.0	301.0	301	36.36363636363637	253578.0
SRR29551974_1	78.83200490496628	54.0	301.0	301	45.45454545454545	6524.0
SRR29551974_2	77.40649908031882	54.0	301.0	301	36.36363636363637	6524.0
SRR29551975_1	93.42722271548973	54.0	301.0	301	45.45454545454545	448258.0
SRR29551975_2	92.92594889550215	54.0	301.0	301	36.36363636363637	448258.0
SRR29551976_1	90.5150998174254	53.0	301.0	301	45.45454545454545	66822.0
SRR29551976_2	89.29095208164975	53.0	301.0	301	45.45454545454545	66822.0
SRR29551977_1	94.42484149020744	53.0	301.0	301	54.54545454545454	255347.0
SRR29551977_2	93.82095736390089	53.0	301.0	301	45.45454545454545	255347.0
SRR29551978_1	94.54564542400489	53.0	301.0	301	54.54545454545454	314336.0
SRR29551978_2	93.50472106281177	53.0	301.0	301	36.36363636363637	314336.0
SRR29551979_1	95.31976649204395	53.0	301.0	301	54.54545454545454	367268.0
SRR29551979_2	94.24207935349664	53.0	301.0	301	45.45454545454545	367268.0
SRR29551980_1	94.74263643828574	53.0	301.0	301	45.45454545454545	439631.0
SRR29551980_2	93.60941334892216	53.0	301.0	301	45.45454545454545	439631.0
SRR29551981_1	93.44024362344875	53.0	301.0	301	45.45454545454545	266641.0
SRR29551981_2	90.7096057995582	53.0	301.0	301	36.36363636363637	266641.0
SRR29551982_1	95.21236114078188	51.0	301.0	301	54.54545454545454	299584.0
SRR29551982_2	94.34983176671652	51.0	301.0	301	45.45454545454545	299584.0
SRR29551983_1	93.13814952382177	52.0	301.0	301	54.54545454545454	155614.0
SRR29551983_2	92.85732646162941	52.0	301.0	301	45.45454545454545	155614.0
SRR29551984_1	94.16768608887588	53.0	301.0	301	45.45454545454545	300824.0
SRR29551984_2	93.8422466292583	52.0	301.0	301	45.45454545454545	300824.0
SRR29551985_1	93.62285518987736	52.0	301.0	301	54.54545454545454	257482.0
SRR29551985_2	92.60414320224326	52.0	301.0	301	36.36363636363637	257482.0
SRR29551986_1	93.81872897858028	53.0	301.0	301	54.54545454545454	282450.0
SRR29551986_2	93.59001593202336	53.0	301.0	301	45.45454545454545	282450.0
SRR29551987_1	94.1000615959729	52.0	301.0	301	54.54545454545454	188324.0
SRR29551987_2	93.56215883265011	52.0	301.0	301	45.45454545454545	188324.0
SRR29551988_1	93.46992413250675	52.0	301.0	301	54.54545454545454	204699.0
