	SRR29551967_R1_filtered.fastq.gz	SRR29551968_R1_filtered.fastq.gz	SRR29551969_R1_filtered.fastq.gz	SRR29551970_R1_filtered.fastq.gz	SRR29551971_R1_filtered.fastq.gz	SRR29551972_R1_filtered.fastq.gz	SRR29551973_R1_filtered.fastq.gz	SRR29551974_R1_filtered.fastq.gz	SRR29551975_R1_filtered.fastq.gz	SRR29551976_R1_filtered.fastq.gz	SRR29551977_R1_filtered.fastq.gz	SRR29551978_R1_filtered.fastq.gz	SRR29551979_R1_filtered.fastq.gz	SRR29551980_R1_filtered.fastq.gz	SRR29551981_R1_filtered.fastq.gz	SRR29551982_R1_filtered.fastq.gz	SRR29551983_R1_filtered.fastq.gz	SRR29551984_R1_filtered.fastq.gz	SRR29551985_R1_filtered.fastq.gz	SRR29551986_R1_filtered.fastq.gz	SRR29551987_R1_filtered.fastq.gz	SRR29551988_R1_filtered.fastq.gz	SRR29551989_R1_filtered.fastq.gz	SRR29551990_R1_filtered.fastq.gz	SRR29551991_R1_filtered.fastq.gz	SRR29551992_R1_filtered.fastq.gz	SRR29551993_R1_filtered.fastq.gz	SRR29551994_R1_filtered.fastq.gz	SRR29551995_R1_filtered.fastq.gz	SRR29551996_R1_filtered.fastq.gz	SRR29551997_R1_filtered.fastq.gz	SRR29551998_R1_filtered.fastq.gz	SRR29551999_R1_filtered.fastq.gz	SRR29552000_R1_filtered.fastq.gz	SRR29552001_R1_filtered.fastq.gz	SRR29552002_R1_filtered.fastq.gz	SRR29552003_R1_filtered.fastq.gz	SRR29552004_R1_filtered.fastq.gz	SRR29552005_R1_filtered.fastq.gz
ASV_1	906	930	1458	950	803	1423	0	0	115	0	0	0	0	18	0	1733	0	0	0	0	0	0	575	3046	805	565	753	307	555	701	1270	701	1667	1024	914	872	715	677	2549
ASV_2	784	720	1150	805	727	1190	0	0	58	0	0	0	0	0	0	1420	0	0	0	0	0	0	474	2539	707	444	592	267	513	627	1123	550	1369	830	753	713	590	515	2098
ASV_3	591	609	1009	643	613	1030	0	37	92	0	0	0	0	0	0	1212	0	0	0	0	0	0	427	2094	601	355	503	194	444	439	842	431	1314	625	561	599	529	457	2051
ASV_4	542	528	906	523	569	916	0	0	75	0	0	0	0	0	0	1066	0	0	0	0	0	0	403	1869	548	307	440	195	362	349	694	425	1096	555	487	534	447	429	1818
ASV_5	510	521	858	493	591	887	0	0	81	0	0	0	0	0	0	981	0	0	0	0	0	0	332	1819	547	323	413	165	356	417	799	383	1003	481	510	522	425	451	1794
ASV_6	1147	242	288	265	1558	506	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	411	0	317	819	765	133	415	194	1191	466	653	206	268	1178	1093	699	662
ASV_7	489	455	772	432	514	829	0	0	72	0	0	0	0	0	0	852	0	0	0	0	0	0	309	1638	477	272	384	165	298	337	619	360	934	496	460	492	399	380	1680
ASV_8	459	447	674	451	508	762	0	0	54	0	0	0	0	0	0	870	0	0	0	0	0	0	274	1625	452	252	394	137	322	297	586	323	924	460	424	445	344	380	1471
ASV_9	1003	192	233	208	1299	418	0	0	0	0	0	0	0	0	0	761	0	0	0	0	0	0	328	48	240	691	589	111	350	0	926	327	508	148	188	931	870	552	533
ASV_10	347	363	542	376	401	592	0	0	67	0	0	0	0	0	0	715	0	0	0	0	0	0	238	1375	391	210	288	103	245	249	452	238	712	315	328	350	255	306	1432
ASV_11	771	149	201	177	1109	385	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	291	0	225	550	463	105	311	0	759	307	454	129	156	837	779	515	513
ASV_12	778	147	167	131	1012	318	0	0	0	0	0	0	0	0	0	503	0	0	0	0	0	0	247	48	200	533	421	94	257	0	638	241	403	88	145	672	748	502	487
ASV_13	681	145	171	147	928	309	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	248	0	197	425	418	96	250	0	615	249	384	108	146	673	630	497	455
ASV_14	445	276	437	264	328	362	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	169	740	228	107	300	100	134	174	282	149	465	322	271	340	282	248	839
ASV_15	611	128	130	90	848	268	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	223	0	202	425	346	80	253	69	593	228	372	95	106	621	578	450	440
ASV_16	590	108	131	111	868	270	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	208	0	165	412	349	81	211	0	529	200	367	109	139	633	607	432	395
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	4637	0	0	0	863	0	0	55	1430	59	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0
ASV_18	384	192	358	247	258	327	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	160	617	223	88	284	84	100	171	260	129	388	283	213	314	258	181	682
ASV_19	0	0	0	0	0	0	0	0	0	42	219	1222	418	385	301	0	152	1392	132	691	384	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	447	104	123	91	666	223	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	188	0	152	328	304	59	150	0	439	132	263	77	83	450	459	319	382
ASV_21	271	151	277	180	221	308	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	130	526	167	88	226	73	82	124	201	124	358	212	180	327	212	228	617
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	3687	0	0	0	716	0	0	44	1123	74	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	58	1350	768	54	173	0	264	339	0	1198	238	1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	707	144	143	109	498	190	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	116	0	124	174	286	0	93	0	235	85	149	82	67	546	613	236	300
ASV_25	0	0	0	0	0	0	0	0	0	65	159	1049	332	354	211	0	152	1224	105	601	340	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	252	164	255	180	207	261	0	0	79	0	0	0	0	0	0	392	0	0	0	0	0	0	113	499	139	56	217	30	54	100	163	97	279	179	153	246	219	174	559
ASV_27	337	128	122	132	324	199	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	305	77	166	88	221	0	109	86	167	101	309	356	102	282	401	415	363
ASV_28	261	152	269	142	207	254	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	102	437	162	53	200	48	87	98	135	103	341	178	159	236	176	181	587
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	4341	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	436	51	0	24	0	0	0	0	0
ASV_30	268	142	235	145	200	249	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	96	470	152	55	167	51	82	92	184	73	324	169	125	232	225	156	557
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	3045	0	0	0	603	0	0	34	884	71	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0
ASV_32	95	143	199	122	113	91	55	0	354	0	0	0	0	0	0	124	0	0	60	0	0	0	127	322	139	157	121	104	121	121	363	161	427	317	159	84	110	139	236
ASV_33	603	84	149	95	440	160	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	113	0	119	161	219	39	66	0	201	94	118	72	45	488	482	209	227
ASV_34	0	0	0	0	0	0	0	0	0	0	50	1130	643	59	0	0	201	246	0	982	171	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	230	132	235	142	164	222	0	0	89	0	0	0	0	0	0	317	0	0	0	0	0	0	74	417	146	43	165	29	35	105	146	87	233	147	133	202	169	112	478
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	2749	0	0	0	587	0	0	22	791	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	0	0	56	151	911	305	272	173	0	118	902	96	445	248	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	2691	0	0	0	550	0	0	29	783	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	3589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	60	0	48	0	0	0	0	0
ASV_40	487	78	84	65	345	140	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	96	0	87	138	166	0	102	82	181	66	96	97	0	460	468	224	249
ASV_41	134	330	535	270	151	305	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	71	109	99	94	149	99	47	112	134	75	144	92	70	95	82	162	293
ASV_42	150	139	175	110	168	190	0	0	45	0	0	0	0	0	0	242	0	0	0	0	0	0	81	407	132	69	120	30	61	92	143	91	238	142	86	223	153	111	396
ASV_43	388	196	357	215	93	118	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	144	98	158	74	124	28	30	0	102	78	160	154	89	194	184	226	359
ASV_44	0	0	0	0	0	0	0	0	0	69	131	811	285	270	198	0	105	781	79	387	222	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	39	124	796	278	230	208	0	112	789	86	400	219	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	0	58	939	487	77	0	0	165	216	0	832	122	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_47	80	110	152	146	122	91	0	0	293	0	0	0	0	0	0	120	0	0	0	0	0	0	95	283	103	126	96	108	103	88	271	132	338	250	149	107	79	109	153
ASV_48	298	98	107	89	292	167	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	207	0	127	67	179	20	0	0	118	0	232	278	66	220	287	351	299
ASV_49	371	158	223	129	125	184	36	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	96	0	108	89	266	59	0	0	164	53	173	79	57	220	220	219	315
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	2367	0	0	0	455	0	0	0	666	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	410	77	86	62	324	108	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	98	0	76	93	145	90	57	0	131	57	97	77	133	352	407	208	235
ASV_52	180	105	174	107	154	192	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	72	321	92	39	138	20	27	75	114	67	202	116	120	193	181	114	434
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	2321	0	0	0	483	0	0	54	589	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	203	108	162	108	205	204	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	83	134	80	48	146	37	57	149	133	72	153	124	71	221	205	151	335
ASV_55	381	65	101	70	331	108	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	99	0	151	104	155	0	90	0	142	49	106	78	0	387	357	175	203
ASV_56	0	0	0	0	0	0	0	0	0	0	35	895	474	0	0	0	163	202	0	686	103	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	42	847	442	48	0	0	179	226	0	706	123	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	238	95	77	65	230	144	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	224	0	113	71	147	43	0	0	111	39	190	223	62	209	263	276	290
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	67	0	45	38	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	104	717	199	210	136	0	86	749	77	372	192	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	75	101	144	131	101	70	0	0	270	0	0	0	0	0	0	85	0	0	0	0	0	0	98	225	99	101	78	32	70	68	234	79	294	245	108	77	87	126	176
ASV_62	331	143	312	162	94	91	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	129	0	164	59	107	0	75	98	97	0	134	160	59	136	166	206	311
ASV_63	0	360	56	168	63	177	0	0	0	0	0	0	70	210	69	49	0	0	36	265	109	0	0	0	0	494	96	56	217	0	154	46	73	68	90	0	0	138	95
ASV_64	334	96	179	118	106	146	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	93	0	110	108	216	40	82	65	118	45	142	68	52	174	204	204	252
ASV_65	135	92	139	94	146	166	0	0	35	0	0	0	0	0	0	182	0	0	0	0	0	0	73	327	111	58	111	19	43	85	118	73	168	118	93	173	123	92	332
ASV_66	166	93	123	104	139	181	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	74	286	95	31	138	18	30	63	108	59	155	125	97	144	126	107	393
ASV_67	79	75	141	67	81	147	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	72	386	86	118	83	42	110	95	236	99	258	107	114	75	42	64	322
